fpr,tpr,threshold
0.0,0.0,inf
0.0,0.1324,1.0
0.0,0.2353,0.99
0.0,0.2941,0.98
0.0,0.3529,0.88
0.0,0.4118,0.8
0.0,0.4265,0.7
0.0,0.4559,0.67
0.0,0.5147,0.61
0.0,0.5441,0.59
0.0,0.5735,0.57
0.0215,0.5882,0.56
0.0215,0.6176,0.55
0.0215,0.6324,0.54
0.043,0.6471,0.53
0.0538,0.6765,0.51
0.0753,0.7059,0.48
0.1075,0.7647,0.47
0.1183,0.7647,0.46
0.1398,0.7647,0.44
0.1505,0.7647,0.43
0.172,0.7647,0.42
0.1828,0.7794,0.41
0.1828,0.7941,0.39
0.1935,0.8088,0.38
0.2043,0.8088,0.37
0.2151,0.8382,0.36
0.2258,0.9118,0.35
0.2258,0.9559,0.34
0.2581,0.9706,0.33
0.2796,0.9706,0.32
0.3333,0.9706,0.31
0.3978,0.9706,0.29
0.4194,0.9706,0.28
0.4516,0.9706,0.27
0.4731,0.9706,0.26
0.5161,0.9706,0.25
0.5269,0.9706,0.24
0.5484,0.9706,0.23
0.5591,0.9706,0.22
0.6022,0.9706,0.21
0.6129,0.9706,0.2
0.6344,0.9706,0.19
0.6452,0.9706,0.18
0.6667,0.9706,0.17
0.6882,0.9853,0.16
0.7312,0.9853,0.14
0.7742,0.9853,0.12
0.8065,0.9853,0.11
0.8065,1.0,0.1
0.8925,1.0,0.06
0.914,1.0,0.03
0.9247,1.0,0.02
0.9677,1.0,0.01
1.0,1.0,0.0
